"Party","Page Name","Page ID"
"D66","D66 Breda","407794169274529"
"D66","D66 Brummen-Eerbeek","514081682043529"
"D66","D66 Capelle aan den IJssel","101641743376691"
"D66","D66 Dalfsen","415242511939767"
"D66","D66 Delft","171999852960244"
"D66","D66 Den Haag","155758593317"
"D66","D66 Den Helder","436459169700367"
"D66","D66 Diemen","669422673069579"
"D66","D66 Dijk en Waard","458832407560387"
"D66","D66 Doetinchem","1427703830630018"
"D66","D66 Drenthe","104517201638527"
"D66","D66 Druten","551956148205847"
"D66","D66 Echt-Susteren","107931484868932"
"D66","D66 Ede","260889263954978"
"D66","D66 Eemsdelta","130487254323668"
"D66","D66 Eindhoven","143581889048125"
"D66","D66 Emmen","1856250761366447"
"D66","D66 Enschede","123661660977745"
"D66","D66 Flevoland","261561310575176"
"D66","D66 Fryslân","374668649274849"
"D66","D66 Gelderland","114857098583610"
"D66","D66 Geldrop-Mierlo","1408064029428099"
"D66","D66 Gemeente Epe","103433580997328"
"D66","D66 Gemert-Bakel","108197721555939"
"D66","D66 Gennep","483088901801643"
"D66","D66 Gilze & Rijen","1932079337009427"
"D66","D66 Goeree-Overflakkee","110869822399261"
"D66","D66 Goes","1750415495212074"
"D66","D66 Groningen","225922380838567"
"D66","D66 Haarlem","235718236590845"
"D66","D66 Haarlemmermeer","160222337386850"
"D66","D66 Hardenberg","1431171767117864"
"D66","D66 Harderwijk/Hierden","617251821650596"
"D66","D66 Heemskerk","1876522379326911"
"D66","D66 Heerenveen","606158119424584"
"D66","D66 Heeze-Leende","327714594589804"
"D66","D66 Helmond","378349145580462"
"D66","D66 Hendrik-Ido-Ambacht","159509304693495"
"D66","D66 Hengelo","439289559440398"
"D66","D66 Heusden","208483356011488"
"D66","D66 Hillegom","1506403966133609"
"D66","D66 Hilversum","443702435649355"
"D66","D66 Hoogeveen","161801464029967"
"D66","D66 Houten","512279162203266"
"D66","D66 IJsselstein","179124345460762"
"D66","D66 Internationaal","642930529119017"
"D66","D66 Kaag en Braassem","371473812892630"
"D66","D66 Kampen","139298416258404"
"D66","D66 Krimpen aan den IJssel","175287832553806"
"D66","D66 Land van Cuijk","120025204794757"
"D66","D66 Lansingerland","480607798691317"
"D66","D66 Leeuwarden","256921101001058"
"D66","D66 Leiden","147722648491"
"D66","D66 Leidschendam-Voorburg","599153616833684"
"D66","D66 Lelystad","658693027482900"
"D66","D66 Leudal","228095397350613"
"D66","D66 Limburg","514602005332873"
"D66","D66 Lingewaard","1377280262539840"
"D66","D66 Lochem","394880693970842"
"D66","D66 Losser","323187547697177"
"D66","D66 Maasgouw","641231539361142"
"D66","D66 Maastricht","429492450430428"
"D66","D66 Medemblik","1963443847203345"
"D66","D66 Middelburg","551955401505079"
"D66","D66 Midden-Brabant","276183766599577"
"D66","D66 Montferland","547532435331347"
"D66","D66 Nederweert","201175180237864"
